;ID;question;mexico_2008;mexico_2010;mexico_2012;mexico_2014;ecuador_2010;ecuador_2012;ecuador_2014;uruguay_2014;colombia_2010;colombia_2012;colombia_2014;chile_2008;chile_2014;argentina_2014;peru_2014;peru_2010;brasil_2014;brasil_2010;
Q_798;798;Le voy a mencionar algunos países y según las opciones de esta tarjeta quiero me indique la preferencia que debiera tener Chile con España;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c3h;C2_8;NA;NA;NA;NA;NA;
Q_799;799;Le voy a mencionar algunos países y según las opciones de esta tarjeta quiero me indique la preferencia que debiera tener Chile con Europa em General;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c3k;C2_11;NA;NA;NA;NA;NA;
Q_800;800;Le voy a mencionar algunos países y según las opciones de esta tarjeta quiero me indique la preferencia que debiera tener Chile con Francia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c3i;C2_9;NA;NA;NA;NA;NA;
Q_801;801;Le voy a mencionar algunos países y según las opciones de esta tarjeta quiero me indique la preferencia que debiera tener Chile con Nueva Zelandia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c3j;C2_10;NA;NA;NA;NA;NA;
Q_802;802;Le voy a mencionar algunos países y según las opciones de esta tarjeta quiero me indique la preferencia que debiera tener Chile con Perú;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c3b;C2_2;NA;NA;NA;NA;NA;
Q_803;803;Los extranjeros en [PAIS]… contribuyen a la economia del pais que los acogen;NA;NA;NA;NA;ec_9_1;EC11_1;EC11_1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_804;804;Los extranjeros en [PAIS]… debilitan las costumbres y tradiciones del país que los acoge;NA;NA;NA;NA;ec_9_5;EC11_5;EC11_5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_805;805;Los extranjeros en [PAIS]… fomentan la inseguridad;NA;NA;NA;NA;ec_9_4;EC11_4;EC11_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_806;806;Los extranjeros en [PAIS]… llevan ideas innovadoras;NA;NA;NA;NA;ec_9_2;EC11_2;EC11_4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_807;807;Los extranjeros en [PAIS]… quitan trabajo a los trabajadores de los países que los acogen;NA;NA;NA;NA;ec_9_3;EC11_3;EC11_2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_808;808;Los últimos tres años, usted o un miembro de su família ha sido objeto de Asalto a calle;NA;NA;NA;PS242;NA;NA;S24_2;NA;NA;NA;S24_2;NA;NA;NA;S24_ASALTO;NA;NA;NA;
Q_809;809;Los últimos tres años, usted o un miembro de su família ha sido objeto de Asesinato;NA;NA;NA;PS245;NA;NA;S24_5;NA;NA;NA;S24_5;NA;NA;NA;S24_ASESINATO;NA;NA;NA;
Q_810;810;Los últimos tres años, usted o un miembro de su família ha sido objeto de Desaparicion forzada;NA;NA;NA;PS246;NA;NA;S24_6;NA;NA;NA;S24_6;NA;NA;NA;S24_DESAPARICION;NA;NA;NA;
Q_811;811;Los últimos tres años, usted o un miembro de su família ha sido objeto de Detencion arbitaria;NA;NA;NA;PS243;NA;NA;S24_3;NA;NA;NA;S24_3;NA;NA;NA;S24_DETENCION;NA;NA;NA;
Q_812;812;Los últimos tres años, usted o un miembro de su família ha sido objeto de Robo en casa;NA;NA;NA;PS241;NA;NA;S24_1;NA;NA;NA;S24_1;NA;NA;NA;S24_ROBO;NA;NA;NA;
Q_813;813;Los últimos tres años, usted o un miembro de su família ha sido objeto de Secuestro;NA;NA;NA;PS244;NA;NA;S24_4;NA;NA;NA;S24_4;NA;NA;NA;S24_SECUESTRO;NA;NA;NA;
Q_814;814;Luego del Fallo de la Corte Internacional de Justicia de La Haya respecto al diferendo marítimo entre Perú y Chile, cómo cree ud que será la relación entre ambos países en los próximos años?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P8_12;NA;NA;NA;
Q_815;815;Lugar usa internet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;s18c;NA;NA;NA;NA;Q_142;NA;
Q_816;816;Madre [nacio fuera];NA;NA;qS13_2a, qS13_2b;NA;NA;qS13_2a, qS13_2b;NA;NA;NA;qS13_2a, qS13_2b;NA;NA;NA;NA;NA;NA;NA;NA;
Q_818;818;México y Canadá son vecinos y los principales socios comerciales de Estados Unidos. Con cuál de las siguientes afirmaciones está usted más de acuerdo?;p9_802_8;pMx7;qmx7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_819;819;Muchos centroamericanos han entrado sin autorización a territorio mexicano. En su opinión, qué debe hacer el gobierno mexicano para atacar este problema?;p8_805_8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_820;820;municipio/ciudad/localidad;NA;NA;NA;NA;px5b;px4,px5;NA;NA;px5b;px4;px4;NA;NA;NA;NA;px5b;Q_6, Q_7, Q_8, Q_9, Q_10, Q_11, Q_12, Q_13, Q_14, Q_15, Q_16, Q_17, Q_18, Q_19, MUNICÍPIOS;cidade;
Q_821;821;Nivel de confianza en: El [CONGRESO NACIONAL];NA;NA;q78_10, q78b_10;NA;NA;q78_10;NA;NA;NA;q78_10;NA;NA;NA;NA;NA;NA;NA;NA;
Q_822;822;Nivel de confianza en: El ejército ?;NA;p67_4;q78_4, q78b_4;P1134;p67_4;q78_4;P11_3_4;NA;p67_4;q78_4;v_11_3_4;NA;P11_3_4;p11_3_4;P11_3_1_C_R;p67_4;NA;NA;
Q_823;823;Nivel de confianza en: El gobierno de Estados Unidos?;NA;p67_7;q78_8, q78b_8;P1138;p67_7;q78_8;P11_3_8;NA;p67_7;q78_8;v_11_3_8;NA;P11_3_8;p11_3_8;P11_3_1_G_R;p67_7;NA;NA;
Q_824;824;Nivel de confianza en: El presidente?;NA;p67_5;q78_6, q78b_6;P1136;p67_5;q78_6;P11_3_6;NA;p67_5;q78_6;v_11_3_6;NA;P11_3_6;p11_3_6;P11_3_1_E_R;p67_5;NA;NA;
Q_825;825;Nivel de confianza en: La iglesia?;NA;NA;q78_15, q78b_15;P11312;p67_8;q78_15;P11_3_12;NA;NA;q78_15;v_11_3_12;NA;P11_3_12;p11_3_12;P11_3_1_K_R;NA;NA;NA;
Q_826;826;Nivel de confianza en: La mayoría de las personas?;NA;p67_1;q78_1, q78b_1;P1131;p67_1;q78_1;P11_3_1;NA;p67_1;q78_1;v_11_3_1;NA;P11_3_1;p11_3_1;P11_3_1_M_R;p67_1;NA;NA;
Q_827;827;Nivel de confianza en: La policía?;NA;p67_2;q78_2, q78b_2;P1132;p67_2;q78_2;P11_3_2;NA;p67_2;q78_2;v_11_3_2;NA;P11_3_2;p11_3_2;P11_3_1_A_R;p67_2;NA;NA;
Q_828;828;Nivel de confianza en: La Unión Europea;NA;NA;q78_12, q78b_12;NA;NA;q78_12;NA;NA;NA;q78_12;NA;NA;NA;NA;NA;NA;NA;NA;
Q_829;829;Nivel de confianza en: Las empresas [de PAIS] ?;NA;NA;NA;P11311;NA;NA;P11_3_11;NA;NA;NA;NA;NA;NA;p11_3_11;P11_3_1_J_R;NA;NA;NA;
Q_830;830;Nivel de confianza en: Las empresas [NACIONALES PAÍS];NA;NA;q78_14, q78b_14;NA;NA;q78_14;NA;NA;NA;q78_14;v_11_3_11;NA;P11_3_11;NA;NA;NA;NA;NA;
Q_831;831;Nivel de confianza en: Las empresas multinacionales;NA;NA;q78_11, q78b_11;NA;NA;q78_11;NA;NA;NA;q78_11;NA;NA;NA;NA;NA;NA;NA;NA;
Q_832;832;Nivel de confianza en: Las Naciones Unidas ?;NA;p67_6;q78_7, q78b_7;P1137;p67_6;q78_7;P11_3_7;NA;p67_6;q78_7;v_11_3_7;NA;P11_3_7;p11_3_7;P11_3_1_F_R;p67_6;NA;NA;
Q_833;833;Nivel de confianza en: Las organizaciones [de PAIS] de derechos humanos ?;NA;NA;q78_5, q78b_5;P1135;NA;NA;P11_3_5;NA;NA;q78_5;v_11_3_5;NA;P11_3_5;p11_3_5;P11_3_1_D_R;NA;NA;NA;
Q_834;834;Nivel de confianza en: Las organizaciones internacionales de derechos humanos;NA;NA;q78_13, q78b_13;P11310;NA;q78_13;P11_3_10;NA;NA;q78_13;v_11_3_10;NA;P11_3_10;p11_3_10;P11_3_1_I_R;NA;NA;NA;
Q_835;835;Nivel de confianza en: Los bancos;NA;NA;q78_9, q78b_9;NA;NA;q78_9;NA;NA;NA;q78_9;NA;NA;NA;NA;NA;NA;NA;NA;
Q_836;836;Nivel de confianza en: Los jueces?;NA;NA;NA;P1139;NA;NA;P11_3_9;NA;NA;NA;v_11_3_9;NA;P11_3_9;p11_3_9;P11_3_1_H_R;NA;NA;NA;
Q_837;837;Nivel de confianza en: Los medios de comunicación?;NA;NA;NA;P11313;NA;NA;P11_3_13;NA;NA;NA;v_11_3_13;NA;P11_3_13;p11_3_13;P11_3_1_L_R;NA;NA;NA;
Q_838;838;Nivel de confianza en: Los políticos?;NA;p67_3;q78_3, q78b_3;P1133;p67_3;q78_3;P11_3_3;NA;p67_3;q78_3;v_11_3_3;NA;P11_3_3;p11_3_3;P11_3_1_B_R;p67_3;NA;NA;
Q_839;839;Nós estamos procurando algumas pessoas com características específicas…;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_3;NA;
Q_840;840;Noticias Internacionales … Aspectos le interesan actualidad internacional;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c2;NA;NA;NA;NA;NA;NA;
Q_841;841;Noticias Internacionales … Se interesa por noticias internacionales;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c1;NA;NA;NA;NA;NA;NA;
Q_842;842;Opinion de turistas visitan [PAIS];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c6;NA;NA;NA;NA;NA;NA;
Q_843;843;País debería integrarse a ONU;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;p28;NA;NA;NA;NA;NA;p28;
Q_844;844;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con que [PAIS] utilizara el recurso… Militar;NA;p30_1;q37_1, q37b_1;P661A, P661B;p30_1;Q37.1.A, Q37.1.B;P6_6_1;NA;NA;q37_1;v_6_6_1_a, v_6_6_1_b;NA;P6_6_1_A;p6_6_1a;P6_6_1_A_A;p30_1;T_168_1;NA;
Q_845;845;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con… A cooperação internacional para o desenvolvimento;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_168_5;NA;
Q_846;846;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con… comercial;NA;p30_4;q37_4, q37b_4;P664A, P664B;p30_4;Q37.4.A, Q37.4.B;P6_6_4;NA;p30_4;q37_4;v_6_6_4_a, v_6_6_4_b;NA;P6_6_4_A;p6_6_4a;P6_6_1_A_D;p30_4;T_168_4;NA;
Q_847;847;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con… cultural;NA;p30_3;q37_3, q37b_3;P663A, P663B;p30_3;Q37.3.A, Q37.3.B;P6_6_3;NA;p30_3;q37_3;v_6_6_3_a, v_6_6_3_b;NA;P6_6_3_A;p6_6_3a;P6_6_1_A_C;p30_3;T_168_3;NA;
Q_848;848;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con… diplomático;NA;p30_2;q37_2, q37b_2;P662A, P662B;p30_2;Q37.2.A, Q37.2.B;P6_6_2;NA;p30_2;q37_2;v_6_6_2_a, v_6_6_2_b;NA;P6_6_2_A;p6_6_2a;P6_6_1_A_B;p30_2;T_168_2;NA;
Q_849;849;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con… La ayuda a otros países para su desarrollo;NA;NA;NA;P665B;NA;NA;NA;NA;NA;NA;v_6_6_5_b;NA;P6_6_5_A;p6_6_5a;P6_6_1_A_E;NA;NA;NA;
Q_850;850;para aumentar la influencia de [PAÍS] en el mundo ¿qué tan de acuerdo estaria usted con… la cooperacion internacional para el desarrollo;NA;NA;NA;P665A;NA;NA;NA;NA;NA;NA;v_6_6_5_a;NA;P6_6_5_A;p6_6_5a;P6_6_1_A_E;NA;NA;NA;
Q_851;851;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Ajuda para países em desenvolvimento;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_144_3;NA;
Q_852;852;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Crescimento econômico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_146_3;NA;
Q_853;853;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Direitos Humanos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_144_5;NA;
Q_854;854;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Impostos e tarifas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_145_3;NA;
Q_855;855;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Missões de paz;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_144_1;NA;
Q_856;856;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Política contra crime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_145_2;NA;
Q_857;857;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Política de combate ao desemprego;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_146_1;NA;
Q_858;858;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Políticas de imigração;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_146_2;NA;
Q_859;859;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Políticas de saúde;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_145_4;NA;
Q_860;860;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Políticas sobre mudança climática;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_145_1;NA;
Q_861;861;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Proteção do Meio-Ambiente;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_144_2;NA;
Q_862;862;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Reformas e supervisão do sistema financeiro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_146_4;NA;
Q_863;863;Para cada uma das seguitnes questões, você acredita que podem ser melhor resolvidas por [GOVERNO NACIONAL/GOVERNO NACIONAL + ORGS REGIONAIS/GOVERNO NACIONAL + ONU]... Refugiados;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_144_4;NA;
Q_864;864;Para defender a un país que ha sido atacado por otro;NA;NA;q46_5;NA;NA;q46_5;NA;NA;NA;q46_5;NA;NA;NA;NA;NA;NA;NA;NA;
Q_865;865;Para evitar que un país apoye a grupos terroristas;NA;NA;q46_3;NA;NA;q46_3;NA;NA;NA;q46_3;NA;NA;NA;NA;NA;NA;NA;NA;
Q_866;866;Para prevenir violaciones graves de derechos humanos como asesinatos masivos (genocidio);p7_707_9Aa, p7_707_9Ba;NA;q46_2;NA;NA;q46_2;NA;NA;NA;q46_2;NA;p25a;NA;NA;NA;NA;T_69_1;p25b_1a;
Q_867;867;Para restablecer por la fuerza a un gobierno democrático que ha sido derrocado;p7_707_9Ab, p7_707_9Bb;NA;q46_4;NA;NA;q46_4;NA;NA;NA;q46_4;NA;p25b;NA;NA;NA;NA;T_69_2;p25b_1b;
Q_868;868;para usted, ¿es bueno o malo que las ideas y costumbres de otros países se difundan;p4_403_4;p18;q23;P44;p18;q23;P4_4;P4_4;p18;q23;v_4_4;NA;P4_4;p4_4;P4_4;p18;NA;NA;
Q_869;869;pasemos a la relación con venezuela. ¿usted diría que la relación de [PAIS] con venezuela?;NA;NA;NA;NA;ec_29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_870;870;pasemos ahora a perú. ¿usted diría que la relación entre [PAIS] y perú es [buena vs mala];NA;NA;NA;NA;ec_23;EC22;P8_8_3,EC22;NA;NA;q57;NA;NA;P8_8_3;NA;NA;NA;NA;NA;
Q_871;871;Pertence a PEA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_24, Q_25;NA;xxxxxxx
Q_872;872;Perú sostiene que hay una disputa con Chile por el triangulo terrestre. En su opinión, ¿Qué debería hacer Chile?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C14;NA;NA;NA;NA;NA;
Q_873;873;Poderia me dizer qual é aproximadamente a SUA renda mensal pessoal?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_28;NA;
Q_874;874;PONDERADOR;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;POND;NA;NA;NA;NA;NA;NA;
Q_875;875;por favor, dígame el significado de las siglas que ve usted en la siguiente (CNDDHH) Coordinadora Nacional de Derechos Humanos;NA;NA;q29_6;P514;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;P5_1_1_D_R;NA;NA;NA;
Q_876;876;por favor, dígame el significado de las siglas que ve usted en la siguiente BRICS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_45_5;NA;
Q_877;877;por favor, dígame el significado de las siglas que ve usted en la siguiente FIFA;p5_501_1d;p24_4;q29_4;P513;p24_4;q29_4;NA;NA;p24_4;q29_4;v_5_1_3;p12d;P5_1_3;NA;P5_1_1_C_R;p24_4;T_45_4;p12d;
Q_878;878;por favor, dígame el significado de las siglas que ve usted en la siguiente OEA;p5_501_1a;p24_1;q29_1;P515;p24_1;q29_1;P5_1_5;NA;p24_1;q29_1;v_5_1_4;p12a;P5_1_5;NA;P5_1_1_E_R;p24_1;T_45_1;p12a;
Q_879;879;por favor, dígame el significado de las siglas que ve usted en la siguiente ONU;p5_501_1b;p24_2;q29_2;P511;p24_2;q29_2;P5_1_1;NA;p24_2;q29_2;v_5_1_1;p12b;P5_1_1;NA;P5_1_1_A_R;p24_2;T_45_2;p12b;
Q_880;880;por favor, dígame el significado de las siglas que ve usted en la siguiente SRE/MRE/MinRe;p5_501_1c;p24_3;q29_3;P512;p24_3;q29_3;P5_1_2;NA;p24_3;q29_3;v_5_1_2;p12c;P5_1_2;NA;P5_1_1_B_R;p24_3;T_45_3;p12c;
Q_881;881;Por favor, dígame el significado de las siguientes siglas: (CIDH) Comisión Internacional de Derechos Humanos;NA;NA;NA;NA;NA;NA;P5_1_6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_882;882;Por favor, dígame el significado de las siguientes siglas: (FMI) Fondo Monetario Internacional;NA;NA;q29_5;NA;NA;NA;P5_1_3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Q_883;883;Por favor, dígame el significado de las siguientes siglas: (UNASUR) Unión de Nacional del Sur;NA;NA;NA;NA;NA;NA;P5_1_4;NA;NA;NA;NA;NA;P5_1_4;NA;NA;NA;NA;NA;
Q_884;884;Por su tamaño territorial, demográfico y económico, Brasil es un país muy importante en Sudamerica. Teniendo esto en cuenta, que tan de acuerdo o en desacuerdo está con que Brasil… Ayude economicacmente a los paises menos desarollados de la region;NA;NA;NA;NA;NA;NA;P8_6_1;NA;NA;NA;v_8_6_1;NA;P8_6_1;p8_6_1, arg4_1;P8_6_1_A;NA;T_200_1;NA;
Q_885;885;Por su tamaño territorial, demográfico y económico, Brasil es un país muy importante en Sudamerica. Teniendo esto en cuenta, que tan de acuerdo o en desacuerdo está con que Brasil… combata amenazas transnacionales, como el narcotrafico;NA;NA;NA;NA;NA;NA;P8_6_2;NA;NA;NA;v_8_6_2;NA;P8_6_2;p8_6_2, arg4_2;P8_6_1_B;NA;T_200_2;NA;
Q_886;886;Por su tamaño territorial, demográfico y económico, Brasil es un país muy importante en Sudamerica. Teniendo esto en cuenta, que tan de acuerdo o en desacuerdo está con que Brasil… lidere la region en foros internacionales;NA;NA;NA;NA;NA;NA;P8_6_3;P1_3;NA;NA;v_8_6_3;NA;P8_6_3;p8_6_3, arg4_3;P8_6_1_C;NA;T_200_3;NA;
Q_887;887;Por su tamaño territorial, demográfico y económico, Brasil es un país muy importante en Sudamerica. Teniendo esto en cuenta, que tan de acuerdo o en desacuerdo está con que Brasil… no intervenga en las problematicas de la region;NA;NA;NA;NA;NA;NA;P8_6_4;NA;NA;NA;v_8_6_4;NA;P8_6_4;p8_6_4, arg4_4;P8_6_1_D;NA;T_200_4;NA;
Q_888;888;Possui na sua residência … Automóvel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_4;NA;
Q_889;889;Possui na sua residência … Banheiro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_3;NA;
Q_890;890;Possui na sua residência … Empregada diarista;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_5;NA;
Q_891;891;Possui na sua residência … Freezer (aparelho independente ou parte da geladeira duplex;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_9;NA;
Q_892;892;Possui na sua residência … Geladeira;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_8;NA;
Q_893;893;Possui na sua residência … Máquina de lavar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_6;NA;
Q_894;894;Possui na sua residência … Rádio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_2;NA;
Q_895;895;Possui na sua residência … Televisão em cores;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_1;NA;
Q_896;896;Possui na sua residência … Videocassete e/ou DVD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T_29_7;NA;
Q_898;898;Qual é a sua principal condição profissional atual?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_23;NA;
Q_899;899;Qual o seu estado civil?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Q_36;NA;
Q_900;900;Que actores sociales/politicos/economicos deberian participar en los esfuerzos de integracion de [PAIS] con LatAm … Empresarios y comerciantes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c15c;NA;NA;NA;NA;NA;NA;
Q_901;901;Que actores sociales/politicos/economicos deberian participar en los esfuerzos de integracion de [PAIS] con LatAm … La PYMES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c15d;NA;NA;NA;NA;NA;NA;
Q_902;902;Que actores sociales/politicos/economicos deberian participar en los esfuerzos de integracion de [PAIS] con LatAm … Militares;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c15e;NA;NA;NA;NA;NA;NA;
Q_903;903;Que actores sociales/politicos/economicos deberian participar en los esfuerzos de integracion de [PAIS] con LatAm … Otros;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c15f;NA;NA;NA;NA;NA;NA;
Q_904;904;Que actores sociales/politicos/economicos deberian participar en los esfuerzos de integracion de [PAIS] con LatAm … Partidos Politicos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c15a;NA;NA;NA;NA;NA;NA;
Q_905;905;Que actores sociales/politicos/economicos deberian participar en los esfuerzos de integracion de [PAIS] con LatAm … Sindicatos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c15b;NA;NA;NA;NA;NA;NA;
Q_906;906;Que areas deberian ser prioridad en un esquema de integracion... Comercio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17a;NA;NA;NA;NA;NA;NA;
Q_907;907;Que areas deberian ser prioridad en un esquema de integracion… Desigualdad y discriminación;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17g;NA;NA;NA;NA;NA;NA;
Q_908;908;Que areas deberian ser prioridad en un esquema de integracion… Energía e infraestructura;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17b;NA;NA;NA;NA;NA;NA;
Q_909;909;Que areas deberian ser prioridad en un esquema de integracion… Terrorismo y narcotráfico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17f;NA;NA;NA;NA;NA;NA;
Q_910;910;Que areas deberian ser prioridad en un esquema de integracion...Derechos Humanos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17d;NA;NA;NA;NA;NA;NA;
Q_911;911;Que areas deberian ser prioridad en un esquema de integracion...Educación;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17h;NA;NA;NA;NA;NA;NA;
Q_912;912;Que areas deberian ser prioridad en un esquema de integracion...Especifique;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17j;NA;NA;NA;NA;NA;NA;
Q_913;913;Que areas deberian ser prioridad en un esquema de integracion...Justicia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17i;NA;NA;NA;NA;NA;NA;
Q_914;914;Que areas deberian ser prioridad en un esquema de integracion...Medio ambiente;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17e;NA;NA;NA;NA;NA;NA;
Q_915;915;Que areas deberian ser prioridad en un esquema de integracion...Otros (especifique);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c17k;NA;NA;NA;NA;NA;NA;
